index,source,student_psnr_db,student_ssim,student_mae_normalized,bicubic_psnr_db,bicubic_ssim,bicubic_mae_normalized
1750,/root/autodl-tmp/data/REDS/val_sharp/017/00000049.png,23.870390,0.643330,0.04335682,23.767000,0.635748,0.04375356
1751,/root/autodl-tmp/data/REDS/val_sharp/017/00000050.png,23.862226,0.644626,0.04324017,23.761521,0.637238,0.04362608
1752,/root/autodl-tmp/data/REDS/val_sharp/017/00000051.png,23.888137,0.644751,0.04307778,23.784384,0.637230,0.04347736
1753,/root/autodl-tmp/data/REDS/val_sharp/017/00000052.png,23.913575,0.645457,0.04294595,23.811889,0.637980,0.04333623
1754,/root/autodl-tmp/data/REDS/val_sharp/017/00000053.png,23.957367,0.647703,0.04270839,23.851112,0.639915,0.04312109
1755,/root/autodl-tmp/data/REDS/val_sharp/017/00000054.png,23.928113,0.647582,0.04282463,23.824046,0.640129,0.04320993
1756,/root/autodl-tmp/data/REDS/val_sharp/017/00000055.png,23.926646,0.647097,0.04284845,23.819377,0.639462,0.04326449
1757,/root/autodl-tmp/data/REDS/val_sharp/017/00000056.png,23.899710,0.646082,0.04294016,23.794577,0.638450,0.04334832
1758,/root/autodl-tmp/data/REDS/val_sharp/017/00000057.png,23.899186,0.644746,0.04303994,23.791438,0.636993,0.04346006
1759,/root/autodl-tmp/data/REDS/val_sharp/017/00000058.png,23.895516,0.646324,0.04294179,23.789176,0.638632,0.04335302
1760,/root/autodl-tmp/data/REDS/val_sharp/017/00000059.png,23.896705,0.647350,0.04283522,23.789811,0.639556,0.04325864
1761,/root/autodl-tmp/data/REDS/val_sharp/017/00000060.png,23.917390,0.649708,0.04271011,23.812316,0.642086,0.04311902
1762,/root/autodl-tmp/data/REDS/val_sharp/017/00000061.png,24.003214,0.653845,0.04225092,23.896472,0.646178,0.04266863
1763,/root/autodl-tmp/data/REDS/val_sharp/017/00000062.png,23.972785,0.652221,0.04233502,23.861046,0.644413,0.04277117
1764,/root/autodl-tmp/data/REDS/val_sharp/017/00000063.png,23.944001,0.648513,0.04257456,23.835274,0.640711,0.04299371
1765,/root/autodl-tmp/data/REDS/val_sharp/017/00000064.png,23.951585,0.648953,0.04249312,23.848003,0.641499,0.04288789
1766,/root/autodl-tmp/data/REDS/val_sharp/017/00000065.png,24.006516,0.652982,0.04212106,23.900178,0.645441,0.04252660
1767,/root/autodl-tmp/data/REDS/val_sharp/017/00000066.png,24.012407,0.650595,0.04223514,23.908188,0.643149,0.04262902
1768,/root/autodl-tmp/data/REDS/val_sharp/017/00000067.png,24.023889,0.650197,0.04217125,23.918657,0.642549,0.04257640
1769,/root/autodl-tmp/data/REDS/val_sharp/017/00000068.png,24.021510,0.649275,0.04213875,23.914226,0.641568,0.04254155
1770,/root/autodl-tmp/data/REDS/val_sharp/017/00000069.png,24.044701,0.649213,0.04205357,23.937567,0.641594,0.04246200
1771,/root/autodl-tmp/data/REDS/val_sharp/017/00000070.png,24.015605,0.648627,0.04217820,23.907627,0.640939,0.04259402
1772,/root/autodl-tmp/data/REDS/val_sharp/017/00000071.png,24.183259,0.651627,0.04129092,24.076433,0.644030,0.04169059
1773,/root/autodl-tmp/data/REDS/val_sharp/017/00000072.png,24.277875,0.653847,0.04075603,24.170656,0.646361,0.04114804
1774,/root/autodl-tmp/data/REDS/val_sharp/017/00000073.png,24.225271,0.654696,0.04090802,24.119534,0.647256,0.04129737
1775,/root/autodl-tmp/data/REDS/val_sharp/017/00000074.png,24.260014,0.656261,0.04067140,24.154733,0.648724,0.04106173
1776,/root/autodl-tmp/data/REDS/val_sharp/017/00000075.png,24.103607,0.653291,0.04147640,23.999553,0.645690,0.04187345
1777,/root/autodl-tmp/data/REDS/val_sharp/017/00000076.png,24.059150,0.651505,0.04174400,23.955164,0.643805,0.04214348
1778,/root/autodl-tmp/data/REDS/val_sharp/017/00000077.png,24.054934,0.650616,0.04182334,23.947929,0.642895,0.04223084
1779,/root/autodl-tmp/data/REDS/val_sharp/017/00000078.png,23.949428,0.647270,0.04244460,23.842705,0.639558,0.04285159
1780,/root/autodl-tmp/data/REDS/val_sharp/017/00000079.png,24.123034,0.651786,0.04149082,24.012125,0.643791,0.04191652
1781,/root/autodl-tmp/data/REDS/val_sharp/017/00000080.png,24.115074,0.654036,0.04144444,24.004388,0.646169,0.04187210
1782,/root/autodl-tmp/data/REDS/val_sharp/017/00000081.png,23.966100,0.651854,0.04224421,23.856128,0.644032,0.04267988
1783,/root/autodl-tmp/data/REDS/val_sharp/017/00000082.png,23.879723,0.649556,0.04270580,23.768391,0.641526,0.04315755
1784,/root/autodl-tmp/data/REDS/val_sharp/017/00000083.png,23.885960,0.649919,0.04267747,23.775582,0.641941,0.04312311
1785,/root/autodl-tmp/data/REDS/val_sharp/017/00000084.png,23.872627,0.649402,0.04281776,23.761566,0.641355,0.04326682
1786,/root/autodl-tmp/data/REDS/val_sharp/017/00000085.png,23.857560,0.650694,0.04277136,23.744778,0.642618,0.04322428
1787,/root/autodl-tmp/data/REDS/val_sharp/017/00000086.png,23.845463,0.650259,0.04281088,23.735852,0.642274,0.04324714
1788,/root/autodl-tmp/data/REDS/val_sharp/017/00000087.png,23.875444,0.651114,0.04269866,23.761950,0.642964,0.04315829
1789,/root/autodl-tmp/data/REDS/val_sharp/017/00000088.png,23.918745,0.653412,0.04246536,23.806628,0.645333,0.04291574
1790,/root/autodl-tmp/data/REDS/val_sharp/017/00000089.png,23.918876,0.651876,0.04250535,23.807434,0.643892,0.04294912
1791,/root/autodl-tmp/data/REDS/val_sharp/017/00000090.png,24.001340,0.655046,0.04202997,23.884840,0.646839,0.04248652
