epoch,step,loss,distill_loss,hr_loss,edge_loss,temporal_loss,teacher_psnr,student_psnr,seconds,steps_per_second
2,111,0.04895588,0.01983708,0.03924365,0.10440151,0.02629824,25.543251,24.170543,12.316,9.0126
2,112,0.04893814,0.01913259,0.04122211,0.10193168,0.02348079,24.470509,23.343819,12.475,8.9779
2,113,0.05472066,0.02266357,0.04402942,0.12103470,0.02588211,24.926387,23.310051,12.523,9.0232
2,114,0.04629553,0.01818164,0.03752536,0.09693800,0.02618443,25.538752,24.057666,12.576,9.0652
2,115,0.03866675,0.01538287,0.03071921,0.08151521,0.02288153,28.070465,26.409459,12.730,9.0336
2,116,0.04891456,0.01993997,0.03716069,0.10656977,0.03132987,26.207261,24.317327,12.887,9.0016
2,117,0.05179978,0.01966104,0.04479943,0.10207680,0.02516392,24.170555,22.908244,12.936,9.0444
2,118,0.05571941,0.02286079,0.04325482,0.12126808,0.03243940,25.288765,23.350427,12.986,9.0869
2,119,0.06125950,0.02645060,0.04458912,0.14180899,0.03741034,25.125171,23.090051,13.142,9.0551
2,120,0.04987965,0.02175899,0.03504963,0.11911784,0.03235754,27.640921,24.638076,13.296,9.0255
2,121,0.05015525,0.02038723,0.03906835,0.10917734,0.02946269,26.085900,24.448824,13.346,9.0666
2,122,0.04039777,0.01644488,0.03085393,0.08780226,0.02552929,27.479523,25.717983,13.395,9.1078
2,123,0.05261754,0.02077831,0.04172006,0.11074703,0.03197935,25.450770,23.782026,13.553,9.0756
2,124,0.04753558,0.01955469,0.03874161,0.10345937,0.02197383,25.937326,24.326124,13.708,9.0461
2,125,0.04437773,0.01927122,0.03207012,0.10353820,0.02716757,27.875682,25.348853,13.759,9.0851
2,126,0.04551623,0.01843890,0.03568976,0.09812490,0.02653823,27.018523,25.211666,13.808,9.1249
2,127,0.04940327,0.02087137,0.03623131,0.11049838,0.03212310,26.926918,24.640210,13.967,9.0926
2,128,0.05450519,0.02289322,0.04328393,0.12119909,0.02618820,25.607393,23.851156,14.125,9.0618
2,129,0.05501845,0.02296955,0.04109182,0.12301119,0.03452004,26.344022,24.247568,14.174,9.1014
2,130,0.04836297,0.01971454,0.03840683,0.10428064,0.02630925,25.683122,24.055883,14.229,9.1360
2,131,0.05732564,0.02395452,0.04466496,0.12884489,0.03013902,25.538090,23.467102,14.380,9.1098
2,132,0.04205742,0.01624313,0.03441793,0.08657318,0.02421039,27.163578,25.424259,14.540,9.0781
2,133,0.04729491,0.01754075,0.04175834,0.09279712,0.02196778,25.330231,24.012971,14.581,9.1216
2,134,0.06272875,0.02365561,0.05270772,0.12311602,0.03579115,23.091265,21.949389,14.621,9.1651
2,135,0.04318739,0.01559913,0.03824520,0.08057842,0.02243084,26.340241,25.185246,14.781,9.1332
2,136,0.03938191,0.01558893,0.03208002,0.08310930,0.02117541,27.281159,25.490128,14.972,9.0836
2,137,0.05501450,0.02348714,0.04146386,0.12537169,0.03086442,25.999740,24.005417,15.011,9.1264
2,138,0.04473407,0.01654388,0.03794663,0.08858256,0.02535215,26.545781,25.074152,15.051,9.1687
2,139,0.04383736,0.01787538,0.03422210,0.09567679,0.02525361,26.835952,25.043731,15.200,9.1447
2,140,0.03746274,0.01465492,0.02994853,0.07683085,0.02312662,27.421609,26.039503,15.371,9.1080
2,141,0.03532567,0.01367846,0.02893644,0.07293395,0.02006425,28.573291,26.797484,15.421,9.1433
2,142,0.04075225,0.01705632,0.03049633,0.09100317,0.02527416,28.054234,25.859689,15.472,9.1780
2,143,0.05061337,0.02017593,0.04198379,0.10533659,0.02489877,25.595859,23.868979,15.616,9.1571
2,144,0.05646506,0.02243147,0.04692194,0.11813013,0.02761026,24.826056,23.415618,15.779,9.1262
2,145,0.05101915,0.02094670,0.03950903,0.11270657,0.02944324,26.197867,24.214842,15.827,9.1613
2,146,0.04673460,0.01929322,0.03496566,0.10501890,0.02974410,27.293876,24.909050,15.879,9.1945
2,147,0.04639105,0.01874654,0.03538486,0.10210606,0.02955596,27.555605,25.342211,16.029,9.1711
2,148,0.03740115,0.01352366,0.03272963,0.07115640,0.02013713,27.128276,25.872649,16.187,9.1432
2,149,0.04447144,0.01842037,0.03332965,0.09901948,0.02819108,27.878695,25.422055,16.236,9.1769
2,150,0.04909829,0.02007977,0.03722056,0.10760546,0.03126890,26.610795,24.730510,16.285,9.2110
2,151,0.03867043,0.01531740,0.03068898,0.08234322,0.02297133,27.963440,26.040817,16.439,9.1855
2,152,0.05365120,0.02330159,0.03874241,0.12685357,0.03241710,26.704071,24.051726,16.598,9.1575
2,153,0.06063445,0.02529884,0.04727285,0.13401356,0.03260368,24.605962,22.929375,16.649,9.1897
2,154,0.05541406,0.02262877,0.04466642,0.11927225,0.02808866,24.875225,23.349044,16.700,9.2215
2,155,0.06039759,0.02550725,0.04661389,0.13460314,0.03249001,24.817271,23.156836,16.850,9.1988
2,156,0.05462630,0.02332710,0.04067533,0.12453213,0.03210101,26.175039,24.098046,17.008,9.1724
2,157,0.04500047,0.01879973,0.03380008,0.10057976,0.02762916,27.091029,24.916387,17.058,9.2039
2,158,0.05088253,0.02084732,0.03898101,0.11230651,0.03081203,26.766933,24.264017,17.109,9.2349
2,159,0.03982412,0.01465316,0.03420928,0.07679078,0.02216945,26.577983,25.472658,17.247,9.2189
2,160,0.04551804,0.01718338,0.03976321,0.09040917,0.02103599,25.965700,24.719058,17.404,9.1933
2,161,0.04385731,0.01686028,0.03641490,0.09057004,0.02385987,26.428612,25.091530,17.451,9.2259
2,162,0.04911934,0.02171225,0.03395364,0.11823203,0.03227330,27.802718,24.685810,17.501,9.2567
2,163,0.04081502,0.01538532,0.03387795,0.08187560,0.02402995,27.383320,25.715882,17.676,9.2217
2,164,0.03931729,0.01611014,0.03092239,0.08550639,0.02178191,28.503885,26.793475,17.822,9.2021
2,165,0.04422446,0.01751786,0.03596483,0.09331529,0.02392072,27.218573,25.280077,17.871,9.2328
2,166,0.05858260,0.02398957,0.04674386,0.12691854,0.03064233,24.820926,23.400397,17.920,9.2634
3,167,0.04310578,0.01851367,0.03102354,0.09892479,0.02798300,28.368161,26.032565,18.660,8.9497
3,168,0.04845367,0.01968753,0.03746829,0.10459208,0.02957949,26.048100,24.281636,18.713,8.9777
3,169,0.05312584,0.02222230,0.04083869,0.11749931,0.03008527,25.768580,23.680378,18.922,8.9314
3,170,0.04387415,0.01800357,0.03479761,0.09391525,0.02379087,26.520642,24.898573,18.974,8.9597
3,171,0.06457482,0.02617127,0.05050540,0.13804503,0.03834493,23.656999,22.075223,19.025,8.9880
3,172,0.04559585,0.01922745,0.03340996,0.10242406,0.02972608,26.852384,24.928602,19.073,9.0181
3,173,0.06713940,0.02721874,0.05270249,0.14317927,0.03937017,23.122751,21.745704,19.123,9.0468
3,174,0.06158433,0.02474505,0.04946121,0.12971403,0.03401616,24.132718,22.740535,19.292,9.0195
3,175,0.05506989,0.02112440,0.04607787,0.11118327,0.02982542,24.722134,23.274586,19.420,9.0113
3,176,0.04264596,0.01595304,0.03605884,0.08455789,0.02385026,26.837453,25.521640,19.469,9.0399
3,177,0.04722445,0.01885509,0.03918429,0.09970924,0.02266379,26.096469,24.490938,19.518,9.0683
3,178,0.04842997,0.01866355,0.04113257,0.09951261,0.02357593,25.712466,24.143008,19.668,9.0501
3,179,0.04558804,0.01742163,0.03934830,0.08966190,0.02202100,25.674994,24.740496,19.798,9.0411
3,180,0.04347431,0.01615152,0.03794007,0.08444339,0.02168797,25.763537,24.700909,19.841,9.0721
3,181,0.05266554,0.01905454,0.04675068,0.09929453,0.02659640,24.161990,23.262498,19.882,9.1037
3,182,0.06029680,0.02292685,0.05263750,0.11943762,0.02749624,23.781873,22.493647,20.043,9.0806
3,183,0.04802607,0.01916809,0.03857596,0.10347581,0.02627142,26.564181,24.679151,20.182,9.0674
3,184,0.04757665,0.01999754,0.03607447,0.10877852,0.02703487,26.190417,24.337983,20.227,9.0966
3,185,0.04735095,0.01848032,0.03876569,0.09907787,0.02605322,26.205270,24.549868,20.273,9.1256
3,186,0.04879981,0.01721516,0.04418714,0.08980820,0.02424211,24.698046,23.793533,20.426,9.1063
3,187,0.04895252,0.02109264,0.03523089,0.11210155,0.03161523,27.006865,24.448721,20.565,9.0931
3,188,0.05914414,0.02410050,0.04941817,0.12480749,0.02567221,23.649359,22.468946,20.615,9.1194
3,189,0.04627634,0.01824803,0.03753002,0.09551983,0.02626758,26.316487,24.827862,20.662,9.1470
3,190,0.04201695,0.01651444,0.03594463,0.08634052,0.01854818,25.431622,24.207479,20.797,9.1359
3,191,0.05677260,0.02322004,0.04534772,0.12220496,0.02988817,25.137306,23.402798,20.968,9.1090
3,192,0.05695189,0.02255380,0.04547819,0.11874184,0.03376402,24.728484,23.291190,21.022,9.1332
3,193,0.06236311,0.02382567,0.05400926,0.12258778,0.02962162,23.158478,22.282138,21.074,9.1583
3,194,0.05142036,0.02122329,0.03900975,0.11249557,0.03204237,25.983721,24.095062,21.176,9.1613
3,195,0.05193766,0.02185694,0.04048526,0.11756531,0.02646367,25.539935,23.578820,21.322,9.1454
3,196,0.04989536,0.01871687,0.04490180,0.09649470,0.02031391,24.279922,23.318963,21.370,9.1718
3,197,0.05176073,0.01926743,0.04395109,0.09952904,0.02965570,24.247044,23.269572,21.422,9.1963
3,198,0.04844533,0.01923674,0.03980419,0.10098495,0.02518998,24.816418,23.587587,21.560,9.1837
3,199,0.05402695,0.02184751,0.04334524,0.11315165,0.02968722,24.884297,23.507569,21.712,9.1653
3,200,0.04271787,0.01799259,0.03126650,0.09557081,0.02814456,27.725384,25.683055,21.761,9.1907
3,201,0.05085233,0.02041616,0.04011761,0.10705256,0.03033649,25.713512,24.078438,21.810,9.2159
3,202,0.05457073,0.02091730,0.04593933,0.10924359,0.02905204,24.303346,23.055146,21.936,9.2085
3,203,0.04715589,0.02023440,0.03503438,0.11143225,0.02642626,27.418977,24.960614,22.094,9.1880
3,204,0.05693122,0.02330904,0.04477510,0.12425168,0.03147369,25.257713,23.467646,22.144,9.2123
3,205,0.05116268,0.02022761,0.04141331,0.10635033,0.02887175,25.546826,24.058390,22.194,9.2367
3,206,0.05299527,0.02075200,0.04280259,0.10988924,0.03096982,25.430959,23.892699,22.315,9.2313
3,207,0.04737559,0.01938870,0.03677225,0.10299687,0.02780167,27.048409,24.947274,22.473,9.2109
3,208,0.05058722,0.02052606,0.03906684,0.10837589,0.03138163,25.441085,23.872741,22.523,9.2351
3,209,0.04450246,0.01806490,0.03538262,0.09607367,0.02431512,26.540099,24.749824,22.574,9.2583
3,210,0.05546773,0.02303592,0.04099825,0.12339308,0.03670021,25.956352,23.783784,22.691,9.2547
3,211,0.06298307,0.02593207,0.04921885,0.13724613,0.03532270,24.449660,22.792097,22.851,9.2336
3,212,0.05345291,0.02108693,0.04274429,0.11222329,0.03156043,24.897990,23.263681,22.901,9.2571
3,213,0.05541152,0.02346079,0.04212650,0.12501103,0.03106198,26.066307,23.885348,22.951,9.2806
3,214,0.06539633,0.02736451,0.04895585,0.14595073,0.04055307,24.735316,22.708092,23.068,9.2770
3,215,0.04413430,0.01702281,0.03923623,0.08901657,0.01667799,25.475348,24.374981,23.235,9.2533
3,216,0.04577497,0.01832303,0.03750340,0.09747045,0.02299288,26.182581,24.627501,23.291,9.2740
3,217,0.05459568,0.02173112,0.04474252,0.11338601,0.02867615,24.387699,23.141391,23.342,9.2964
3,218,0.04701057,0.01804336,0.03976127,0.09486578,0.02415757,26.068224,24.701051,23.447,9.2974
3,219,0.05029375,0.02012642,0.04044133,0.10654100,0.02773998,24.541146,23.393298,23.615,9.2738
3,220,0.04549470,0.01836896,0.03569885,0.09804656,0.02667164,27.045745,24.934698,23.668,9.2954
3,221,0.04863827,0.01902630,0.03859986,0.10118810,0.03044333,26.260210,24.366267,23.717,9.3181
3,222,0.04392877,0.01698129,0.03689652,0.09033790,0.02241841,26.862746,25.098072,23.826,9.3175
3,223,0.04218680,0.01711898,0.03311300,0.09133999,0.02427656,27.836939,25.988295,24.009,9.2882
3,224,0.05606883,0.02247377,0.04435273,0.11811594,0.03319297,24.002970,22.789035,24.069,9.3065
3,225,0.04644422,0.01996010,0.03298701,0.10747451,0.03115736,28.099476,25.468230,24.133,9.3231
3,226,0.05705508,0.02259962,0.04541005,0.11858802,0.03437015,23.323638,22.269280,24.224,9.3297
3,227,0.05557510,0.02285356,0.04361879,0.12026779,0.03095135,25.181568,23.604102,24.395,9.3053
3,228,0.04713715,0.01959027,0.03777698,0.10491952,0.02231300,26.879148,24.972858,24.445,9.3272
3,229,0.04634034,0.01719972,0.03897243,0.09210357,0.02695432,26.520253,24.996121,24.506,9.3448
3,230,0.05672051,0.02200561,0.04816446,0.11626744,0.02720925,24.249389,22.974046,24.598,9.3503
3,231,0.04848546,0.01934496,0.04016382,0.10110157,0.02389804,25.368713,23.857659,24.795,9.3166
3,232,0.04629507,0.01887609,0.03607823,0.10008810,0.02714793,26.046939,24.352751,24.854,9.3345
3,233,0.04793147,0.01864321,0.03866300,0.09820446,0.02895581,25.514362,24.162740,24.916,9.3514
3,234,0.04163464,0.01598957,0.03489424,0.08416361,0.02227786,26.574490,25.161467,25.008,9.3570
3,235,0.05289887,0.02142285,0.04100362,0.11395340,0.03231749,25.734760,23.984820,25.189,9.3294
3,236,0.05037379,0.01952073,0.04328799,0.10147879,0.02323879,23.831993,22.826617,25.238,9.3508
3,237,0.05945727,0.02475920,0.04390834,0.13336012,0.03889608,25.349015,23.487031,25.292,9.3706
3,238,0.07176935,0.02745257,0.06176222,0.14063880,0.03528447,21.615589,20.765381,25.409,9.3667
3,239,0.03997709,0.01610440,0.03138817,0.08558589,0.02367978,27.585688,25.795596,25.577,9.3442
3,240,0.04667583,0.01891625,0.03725046,0.09944180,0.02558838,26.830590,25.103955,25.634,9.3626
3,241,0.03888637,0.01495327,0.03219729,0.07835390,0.02199736,27.818500,26.200264,25.687,9.3821
3,242,0.04325584,0.01750677,0.03465123,0.09337835,0.02303828,27.575034,25.281519,25.799,9.3804
3,243,0.04260335,0.01764800,0.03192136,0.09425448,0.02720834,27.868959,25.773605,25.975,9.3553
3,244,0.03791603,0.01449715,0.03215855,0.07683023,0.01931545,27.223629,25.841964,26.029,9.3743
3,245,0.03537547,0.01375381,0.02846931,0.07265997,0.02153309,28.078264,26.670091,26.083,9.3931
3,246,0.04618011,0.01774449,0.03818496,0.09431434,0.02594565,25.878998,24.370378,26.189,9.3932
3,247,0.04206805,0.01824771,0.03297783,0.10059063,0.01736259,27.864686,25.415127,26.374,9.3653
3,248,0.04469100,0.01761374,0.03563628,0.09346342,0.02685904,26.422303,24.991686,26.427,9.3842
3,249,0.03658989,0.01454641,0.02875157,0.07649254,0.02283456,28.650454,26.672107,26.485,9.4016
4,250,0.05591694,0.02249425,0.04503246,0.11684008,0.03070542,23.795675,22.667332,27.268,9.1684
4,251,0.06313986,0.02607444,0.04883366,0.13829055,0.03645058,23.678504,22.232094,27.338,9.1814
4,252,0.04955543,0.02008635,0.03854446,0.10613399,0.03000135,25.466300,23.915745,27.405,9.1955
4,253,0.05239295,0.02102340,0.04342081,0.11054839,0.02495592,25.317596,23.676497,27.466,9.2112
4,254,0.04089516,0.01666152,0.03143539,0.08856198,0.02528574,27.564915,25.569098,27.655,9.1847
4,255,0.05324713,0.02020177,0.04557867,0.10420284,0.02753260,23.279999,22.351478,27.716,9.2003
4,256,0.04349794,0.01858998,0.03159983,0.09922919,0.02785652,27.504838,25.284071,27.766,9.2199
4,257,0.06737676,0.02665835,0.05426398,0.13971353,0.03887362,22.257954,21.176835,27.822,9.2374
4,258,0.05613115,0.02338544,0.04119400,0.12536919,0.03761392,26.235516,23.819007,28.030,9.2044
4,259,0.04237305,0.01740372,0.03389395,0.09163228,0.02178070,26.949698,25.100272,28.083,9.2225
4,260,0.04625915,0.01945299,0.03401554,0.10467122,0.02976231,27.807968,25.211418,28.135,9.2411
